restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,Total Nutrient ,"Health_Score   1= HIGH_HEALTHY,0=LOW_HEALTHY"
Taco Bell,Express Taco Salad w/ Chips,580,260,29,9,1,60,1270,59,8,7,23,21,22,25,2375,1
Taco Bell,Loaded Potato Griller,470,200,22,6,1,25,1120,55,4,5,13,21,22,25,1990,1
Taco Bell,Mexican Pizza,540,270,31,8,1,40,860,47,7,2,20,21,22,25,1895,1
Taco Bell,MexiMelt®,270,130,14,7,1,40,740,21,3,2,14,21,22,25,1311,1
Taco Bell,Steak Quesalupa,440,210,23,10,1,60,840,36,3,3,22,15,6,35,1704,1
Taco Bell,Chicken Quesalupa,440,200,23,10,1,60,840,37,3,3,22,15,8,35,1697,1
Taco Bell,Beef Quesalupa,460,240,26,11,1,50,890,38,4,3,19,15,6,35,1798,1
Taco Bell,Shredded Chicken Mini Quesadilla,180,70,8,3,1,25,540,15,2,1,12,21,22,25,926,1
Taco Bell,Spicy Chicken Crunchwrap Slider,400,180,20,4,1,25,900,42,3,3,15,21,22,25,1662,1
Taco Bell,Spicy Tostada,200,90,10,3,1,10,440,22,4,1,7,21,22,25,857,1
Taco Bell,Stacker,390,170,18,8,1,40,1050,39,4,3,18,8,2,30,1781,1
Taco Bell,Steak Quesadilla,520,250,28,12,1,65,1250,41,4,3,25,21,22,25,2268,1
Taco Bell,Original Triple Double Crunchwrap,700,270,30,9,1,45,1550,85,9,7,23,15,6,25,2775,1
Taco Bell,Spicy Triple Double Crunchwrap,780,340,38,10,1,50,1850,87,9,8,23,20,10,25,3251,1
Taco Bell,Express Taco Salad w/ Chips,580,260,29,9,1,60,1270,59,8,7,23,21,22,25,2375,1
Taco Bell,Fiesta Taco Salad-Beef,780,380,42,10,1,60,1340,74,11,7,26,21,22,25,2800,1
Taco Bell,Fiesta Taco Salad-Chicken,720,320,35,7,1,70,1260,70,8,8,32,21,22,25,2600,1
Taco Bell,Fiesta Taco Salad-Steak,720,320,36,8,1,55,1340,70,8,8,28,21,22,25,2663,1
